subset,metric,count,accuracy_2afc,soft_agreement_mean,model_choose_p0_ratio,human_choose_p0_ratio,mean_margin_p0_minus_p1
cnn,PSNR,2,0.5,0.4999999925494194,1.0,0.5,8.714001178741455
cnn,SSIM,2,1.0,0.8000000044703484,0.5,0.5,-0.0073319971561431885
cnn,FSIM,2,1.0,0.8000000044703484,0.5,0.5,-0.004483640193939209
cnn,VIF,2,1.0,0.8000000044703484,0.5,0.5,0.07936394214630127
cnn,LPIPS,2,0.5,0.4999999925494194,1.0,0.5,-0.07320930063724518
cnn,DISTS,2,0.5,0.4999999925494194,1.0,0.5,-0.04418307542800903
color,PSNR,2,1.0,0.7000000178813934,0.0,0.0,-0.22365856170654297
color,SSIM,2,0.5,0.5999999940395355,0.5,0.0,0.09318476915359497
color,FSIM,2,0.0,0.29999998211860657,1.0,0.0,0.05924046039581299
color,VIF,2,0.0,0.29999998211860657,1.0,0.0,0.3386171907186508
color,LPIPS,2,0.0,0.29999998211860657,1.0,0.0,-0.06826961785554886
color,DISTS,2,0.5,0.5999999940395355,0.5,0.0,-0.012393027544021606
deblur,PSNR,2,1.0,0.7000000029802322,0.5,0.5,3.984212875366211
deblur,SSIM,2,1.0,0.7000000029802322,0.5,0.5,0.01237824559211731
deblur,FSIM,2,1.0,0.7000000029802322,0.5,0.5,0.010173201560974121
deblur,VIF,2,1.0,0.7000000029802322,0.5,0.5,0.26208917051553726
deblur,LPIPS,2,1.0,0.7000000029802322,0.5,0.5,0.0018579736351966858
deblur,DISTS,2,1.0,0.7000000029802322,0.5,0.5,-0.0054087042808532715
frameinterp,PSNR,2,0.5,0.5,0.5,1.0,4.6880669593811035
frameinterp,SSIM,2,0.5,0.5,0.5,1.0,0.1826569139957428
frameinterp,FSIM,2,1.0,1.0,1.0,1.0,0.07914727926254272
frameinterp,VIF,2,0.5,0.5,0.5,1.0,0.12289801985025406
frameinterp,LPIPS,2,1.0,1.0,1.0,1.0,-0.16285346448421478
frameinterp,DISTS,2,1.0,1.0,1.0,1.0,-0.10825592279434204
superres,PSNR,2,0.5,0.3999999985098839,0.5,1.0,3.095224380493164
superres,SSIM,2,0.5,0.3999999985098839,0.5,1.0,0.03387512266635895
superres,FSIM,2,1.0,0.8999999985098839,1.0,1.0,0.0845976173877716
superres,VIF,2,0.5,0.3999999985098839,0.5,1.0,0.04127240926027298
superres,LPIPS,2,1.0,0.8999999985098839,1.0,1.0,-0.17618918418884277
superres,DISTS,2,1.0,0.8999999985098839,1.0,1.0,-0.12270724773406982
traditional,PSNR,2,1.0,1.0,0.5,0.5,-3.669391632080078
traditional,SSIM,2,0.5,0.5,0.0,0.5,-0.10520273447036743
traditional,FSIM,2,0.5,0.5,0.0,0.5,-0.01073184609413147
traditional,VIF,2,0.5,0.5,0.0,0.5,-0.06736773252487183
traditional,LPIPS,2,0.5,0.5,0.0,0.5,0.22771631181240082
traditional,DISTS,2,0.5,0.5,1.0,0.5,-0.03411895036697388
