img_name,score,score_cls,cos_sim
000001.png,0.000000,0,0.30951154
000002.png,0.000000,0,0.43628594
000003.png,0.000000,0,0.26456717
000004.png,1.000000,1,0.43826675
000005.png,3.000000,3,0.63957042
000006.png,2.000000,2,0.48625526
000007.png,3.000000,3,0.72713506
000008.png,4.000000,4,0.71796739
000009.png,3.000000,3,0.52777243
000010.png,3.000000,3,0.71841645
000011.png,0.000000,0,0.33641359
000012.png,0.000000,0,0.38859975
000013.png,0.000000,0,0.32686147
000014.png,3.000000,3,0.63059139
000015.png,3.000000,3,0.66404277
000016.png,3.000000,3,0.58356106
000017.png,3.000000,3,0.47200513
000018.png,2.000000,2,0.51354957
000019.png,3.000000,3,0.69817686
000020.png,3.000000,3,0.62316835
000021.png,3.000000,3,0.58742434
000022.png,3.000000,3,0.71175128
000023.png,2.000000,2,0.62248945
000024.png,3.000000,3,0.73009461
000025.png,1.000000,1,0.80662811
000026.png,2.000000,2,0.80357254
000027.png,2.000000,2,0.48612627
000028.png,3.000000,3,0.68264514
000029.png,4.000000,4,0.64962924
000030.png,3.000000,3,0.79828316
000031.png,3.000000,3,0.46334338
000032.png,3.000000,3,0.74129957
000033.png,3.000000,3,0.83665979
000034.png,2.000000,2,0.84017283
000035.png,1.000000,1,0.45036343
000036.png,2.000000,2,0.74658823
000037.png,3.000000,3,0.74249423
000038.png,3.000000,3,0.84467936
000039.png,3.000000,3,0.49130931
000040.png,3.000000,3,0.77107972
000041.png,2.000000,2,0.69112498
000042.png,3.000000,3,0.83773988
000043.png,3.000000,3,0.70164818
000044.png,2.000000,2,0.70313698
000045.png,2.000000,2,0.62183791
000046.png,3.000000,3,0.80354011
000047.png,2.000000,2,0.73113132
000048.png,1.000000,1,0.64390033
000049.png,2.000000,2,0.78386599
000050.png,2.000000,2,0.63749665
000051.png,2.000000,2,0.70723176
000052.png,2.000000,2,0.69660842
000053.png,1.000000,1,0.55252028
000054.png,3.000000,3,0.76321167
000055.png,2.000000,2,0.81462467
000056.png,2.000000,2,0.81330121
000057.png,2.000000,2,0.73179317
000058.png,2.000000,2,0.70649117
000059.png,2.000000,2,0.87840283
000060.png,2.000000,2,0.76098102
000061.png,1.000000,1,0.72230905
000062.png,2.000000,2,0.70511496
000063.png,1.000000,1,0.80680513
000064.png,1.000000,1,0.51746112
000065.png,2.000000,2,0.79025161
000066.png,1.000000,1,0.73689783
000067.png,2.000000,2,0.73585248
000068.png,2.000000,2,0.68592143
000069.png,1.000000,1,0.76490188
000070.png,2.000000,2,0.68172181
000071.png,2.000000,2,0.78357834
000072.png,1.000000,1,0.65432012
000073.png,2.000000,2,0.80447054
000074.png,1.000000,1,0.63896978
000075.png,2.000000,2,0.71585542
000076.png,1.000000,1,0.58353531
000077.png,3.000000,3,0.68819273
000078.png,2.000000,2,0.47032768
000079.png,1.000000,1,0.68990999
000080.png,1.000000,1,0.71309370
000081.png,1.000000,1,0.58672249
000082.png,1.000000,1,0.65518963
000083.png,2.000000,2,0.75139266
000084.png,3.000000,3,0.82062113
000085.png,1.000000,1,0.70179260
000086.png,2.000000,2,0.69461370
000087.png,1.000000,1,0.45690405
000088.png,1.000000,1,0.63476056
000089.png,2.000000,2,0.66767657
000090.png,1.000000,1,0.74445283
000091.png,2.000000,2,0.60300410
000092.png,1.000000,1,0.85029459
000093.png,2.000000,2,0.58035827
000094.png,3.000000,3,0.78641713
000095.png,3.000000,3,0.73521721
000096.png,2.000000,2,0.53634667
000097.png,2.000000,2,0.75216222
000098.png,1.000000,1,0.71979976
000099.png,1.000000,1,0.67717999
000100.png,0.000000,0,0.33107951
000101.png,1.000000,1,0.74689341
000102.png,2.000000,2,0.68105793
000103.png,1.000000,1,0.74904203
000104.png,1.000000,1,0.73933333
000105.png,3.000000,3,0.85032934
000106.png,2.000000,2,0.49585658
000107.png,2.000000,2,0.50097656
000108.png,3.000000,3,0.77527618
000109.png,3.000000,3,0.90198308
000110.png,1.000000,1,0.75091052
000111.png,1.000000,1,0.69260710
000112.png,1.000000,1,0.66286337
000113.png,2.000000,2,0.66637206
000114.png,0.000000,0,0.56615502
000115.png,2.000000,2,0.70685697
000116.png,2.000000,2,0.68149114
000117.png,2.000000,2,0.29742980
000118.png,1.000000,1,0.63266969
000119.png,1.000000,1,0.59923220
000120.png,2.000000,2,0.70718741
000121.png,2.000000,2,0.68622601
000122.png,1.000000,1,0.79537231
000123.png,1.000000,1,0.60546792
000124.png,3.000000,3,0.70698488
000125.png,3.000000,3,0.86660135
000126.png,1.000000,1,0.79671860
000127.png,3.000000,3,0.80510181
000128.png,3.000000,3,0.82371932
000129.png,3.000000,3,0.81099087
000130.png,2.000000,2,0.67766643
000131.png,1.000000,1,0.72405070
000132.png,1.000000,1,0.73322052
000133.png,3.000000,3,0.88204885
000134.png,2.000000,2,0.40903726
000135.png,1.000000,1,0.60140216
000136.png,2.000000,2,0.83729029
000137.png,3.000000,3,0.59842384
000138.png,1.000000,1,0.82612824
000139.png,1.000000,1,0.69460219
000140.png,1.000000,1,0.57203925
000141.png,1.000000,1,0.71097463
000142.png,1.000000,1,0.76493579
000143.png,1.000000,1,0.68119371
000144.png,0.000000,0,0.47552419
000145.png,1.000000,1,0.74913698
000146.png,1.000000,1,0.64311063
000147.png,1.000000,1,0.65151060
000148.png,1.000000,1,0.60523731
000149.png,2.000000,2,0.66613102
000150.png,1.000000,1,0.56107110
000151.png,1.000000,1,0.75654846
000152.png,2.000000,2,0.84241706
000153.png,1.000000,1,0.71869922
000154.png,2.000000,2,0.75171065
000155.png,3.000000,3,0.57870305
000156.png,3.000000,3,0.75981331
000157.png,2.000000,2,0.67777967
000158.png,2.000000,2,0.50414991
000159.png,2.000000,2,0.79155517
000160.png,3.000000,3,0.78192496
000161.png,2.000000,2,0.63305950
000162.png,2.000000,2,0.75115263
000163.png,3.000000,3,0.87866336
000164.png,3.000000,3,0.70313543
000165.png,2.000000,2,0.74365282
000166.png,2.000000,2,0.71791691
000167.png,3.000000,3,0.80529439
000168.png,2.000000,2,0.72677362
000169.png,2.000000,2,0.79925674
000170.png,1.000000,1,0.68030709
000171.png,1.000000,1,0.68786567
000172.png,2.000000,2,0.74424803
000173.png,3.000000,3,0.66039288
000174.png,2.000000,2,0.74074173
000175.png,1.000000,1,0.63468719
000176.png,2.000000,2,0.74710125
000177.png,0.000000,0,0.67446959
000178.png,1.000000,1,0.49365658
000179.png,1.000000,1,0.79486775
000180.png,2.000000,2,0.78721231
000181.png,3.000000,3,0.84021813
000182.png,3.000000,3,0.75684178
000183.png,2.000000,2,0.55972892
000184.png,1.000000,1,0.67930609
000185.png,3.000000,3,0.77366400
000186.png,1.000000,1,0.68659920
000187.png,1.000000,1,0.57298046
000188.png,1.000000,1,0.63343590
000189.png,2.000000,2,0.58061177
000190.png,2.000000,2,0.72053599
000191.png,2.000000,2,0.63686615
000192.png,3.000000,3,0.83313358
000193.png,1.000000,1,0.45502356
000194.png,1.000000,1,0.59325093
000195.png,0.000000,0,0.41272271
000196.png,4.000000,4,0.78433537
000197.png,3.000000,3,0.55265212
000198.png,2.000000,2,0.69096398
000199.png,2.000000,2,0.65890807
000200.png,1.000000,1,0.60885525
000201.png,1.000000,1,0.69555908
000202.png,2.000000,2,0.63243467
000203.png,4.000000,4,0.84673262
000204.png,4.000000,4,0.80559003
000205.png,4.000000,4,0.77606499
000206.png,4.000000,4,0.91648281
000207.png,4.000000,4,0.85242569
000208.png,4.000000,4,0.89513868
000209.png,4.000000,4,0.81664580
000210.png,4.000000,4,0.93284750
000211.png,4.000000,4,0.88431054
000212.png,4.000000,4,0.85955215
000213.png,3.000000,3,0.77526152
000214.png,2.000000,2,0.86798745
000215.png,3.000000,3,0.70899814
000216.png,2.000000,2,0.76101387
000217.png,3.000000,3,0.78001493
000218.png,2.000000,2,0.77623826
000219.png,2.000000,2,0.67053199
000220.png,0.000000,0,0.50456417
000221.png,4.000000,4,0.87930632
000222.png,3.000000,3,0.70434570
000223.png,3.000000,3,0.79992491
000224.png,3.000000,3,0.84307206
000225.png,3.000000,3,0.83977854
000226.png,4.000000,4,0.75620127
000227.png,4.000000,4,0.86745733
000228.png,3.000000,3,0.76643562
000229.png,4.000000,4,0.85473907
000230.png,1.000000,1,0.70855629
000231.png,4.000000,4,0.71334893
000232.png,3.000000,3,0.59584278
000233.png,2.000000,2,0.67733699
000234.png,3.000000,3,0.58113706
000235.png,3.000000,3,0.76044726
000236.png,3.000000,3,0.75958776
000237.png,3.000000,3,0.42771569
000238.png,0.000000,0,0.44896394
000239.png,3.000000,3,0.74925160
000240.png,5.000000,5,0.84479320
000241.png,2.000000,2,0.33075252
000242.png,4.000000,4,0.86522478
000243.png,4.000000,4,0.86937904
000244.png,3.000000,3,0.60396618
000245.png,3.000000,3,0.76549959
000246.png,3.000000,3,0.82828969
000247.png,3.000000,3,0.76096535
000248.png,3.000000,3,0.65937281
000249.png,2.000000,2,0.74815881
000250.png,4.000000,4,0.91865349
000251.png,1.000000,1,0.41759172
000252.png,2.000000,2,0.79490757
000253.png,1.000000,1,0.77766895
000254.png,1.000000,1,0.60737848
000255.png,2.000000,2,0.64339066
000256.png,3.000000,3,0.78174537
000257.png,4.000000,4,0.76238656
000258.png,4.000000,4,0.71711814
000259.png,2.000000,2,0.69311649
000260.png,2.000000,2,0.58762872
000261.png,3.000000,3,0.86497259
000262.png,3.000000,3,0.75059140
000263.png,3.000000,3,0.80000210
000264.png,3.000000,3,0.80214661
000265.png,3.000000,3,0.77796555
000266.png,2.000000,2,0.32510072
000267.png,5.000000,5,0.76009256
000268.png,5.000000,5,0.86967129
000269.png,5.000000,5,0.86333156
000270.png,4.000000,4,0.83696377
000271.png,4.000000,4,0.85441542
000272.png,5.000000,5,0.86101210
000273.png,5.000000,5,0.86744738
000274.png,5.000000,5,0.84283876
000275.png,5.000000,5,0.95856607
000276.png,5.000000,5,0.89199185
000277.png,5.000000,5,0.88825113
000278.png,4.000000,4,0.84252262
000279.png,4.000000,4,0.64956343
000280.png,4.000000,4,0.86965829
000281.png,3.000000,3,0.80906916
000282.png,4.000000,4,0.57319325
000283.png,5.000000,5,0.91579473
000284.png,4.000000,4,0.88562763
000285.png,4.000000,4,0.76403898
000286.png,4.000000,4,0.86137933
000287.png,4.000000,4,0.74726808
000288.png,4.000000,4,0.79226446
000289.png,5.000000,5,0.88045788
000290.png,4.000000,4,0.79123974
000291.png,5.000000,5,0.83480138
000292.png,5.000000,5,0.76414216
000293.png,4.000000,4,0.72847217
000294.png,5.000000,5,0.89695269
000295.png,5.000000,5,0.82434714
000296.png,5.000000,5,0.87947905
000297.png,4.000000,4,0.84647727
000298.png,4.000000,4,0.88527077
000299.png,4.000000,4,0.81378758
000300.png,4.000000,4,0.90146792
000301.png,4.000000,4,0.82723510
000302.png,5.000000,5,0.87667120
000303.png,3.000000,3,0.62127048
000304.png,4.000000,4,0.85115588
000305.png,4.000000,4,0.87615740
000306.png,4.000000,4,0.67772907
000307.png,4.000000,4,0.85077941
000308.png,3.000000,3,0.76755118
000309.png,4.000000,4,0.85081530
000310.png,4.000000,4,0.86014283
000311.png,4.000000,4,0.86925066
000312.png,5.000000,5,0.87586737
000313.png,5.000000,5,0.87331611
000314.png,5.000000,5,0.88670820
000315.png,4.000000,4,0.78559846
000316.png,3.000000,3,0.59287560
000317.png,4.000000,4,0.86251736
000318.png,4.000000,4,0.66866750
000319.png,4.000000,4,0.86033660
000320.png,4.000000,4,0.87928104
000321.png,4.000000,4,0.63910139
000322.png,4.000000,4,0.88623422
000323.png,4.000000,4,0.80024529
000324.png,4.000000,4,0.81228280
000325.png,4.000000,4,0.75738263
000326.png,4.000000,4,0.88760531
000327.png,0.000000,0,0.33691561
000328.png,0.000000,0,0.27663541
000329.png,0.000000,0,0.36731604
000330.png,0.000000,0,0.40475833
000331.png,0.000000,0,0.35254240
000332.png,0.000000,0,0.48295891
000333.png,0.000000,0,0.28184414
000334.png,0.000000,0,0.38208410
000335.png,0.000000,0,0.40179816
000336.png,0.000000,0,0.31461412
000337.png,0.000000,0,0.42516047
000338.png,1.000000,1,0.63518375
000339.png,0.000000,0,0.28670508
000340.png,0.000000,0,0.36056471
000341.png,0.000000,0,0.27237689
000342.png,0.000000,0,0.33278996
000343.png,0.000000,0,0.27132571
000344.png,0.000000,0,0.36716130
000345.png,0.000000,0,0.30933788
000346.png,0.000000,0,0.35406464
000347.png,0.000000,0,0.27626851
000348.png,0.000000,0,0.26833338
000349.png,0.000000,0,0.35156864
000350.png,0.000000,0,0.16099966
000351.png,0.000000,0,0.37020046
000352.png,0.000000,0,0.32600954
000353.png,0.000000,0,0.34677309
000354.png,0.000000,0,0.33148420
000355.png,0.000000,0,0.59222889
000356.png,0.000000,0,0.42608291
000357.png,4.000000,4,0.85833192
000358.png,4.000000,4,0.89654744
000359.png,4.000000,4,0.94339681
000360.png,4.000000,4,0.93546039
000361.png,4.000000,4,0.93778187
000362.png,3.000000,3,0.86982214
000363.png,4.000000,4,0.94869268
000364.png,4.000000,4,0.89499801
000365.png,4.000000,4,0.89892030
000366.png,4.000000,4,0.86452055
000367.png,4.000000,4,0.91907716
000368.png,4.000000,4,0.87491304
000369.png,4.000000,4,0.93767917
000370.png,4.000000,4,0.95308799
000371.png,4.000000,4,0.85306525
000372.png,5.000000,5,0.85314035
000373.png,5.000000,5,0.92730653
000374.png,4.000000,4,0.72098553
000375.png,2.000000,2,0.74690521
000376.png,1.000000,1,0.72309899
000377.png,2.000000,2,0.83476055
000378.png,2.000000,2,0.74982607
000379.png,2.000000,2,0.77034044
000380.png,1.000000,1,0.74207914
000381.png,1.000000,1,0.80963528
000382.png,1.000000,1,0.68189812
000383.png,1.000000,1,0.68276632
000384.png,1.000000,1,0.74897951
000385.png,1.000000,1,0.68840098
